id,country_name,geo_id,industry_name,industry_id,size_label,size_code,status,last_page,total_found,created_at,updated_at
849127,Austria,103883259,Alternative Medicine,70,5001-10000 employees,H,exhausted,0,0,2026-03-09T17:57:24Z,2026-03-09T17:59:07Z
880628,Austria,103883259,Alternative Medicine,70,10001+ employees,I,exhausted,0,0,2026-03-09T18:01:19Z,2026-03-09T18:01:39Z
880629,Austria,103883259,Animation,29,11-50 employees,C,exhausted,0,0,2026-03-09T18:01:19Z,2026-03-09T18:03:08Z
880630,Austria,103883259,Animation,29,51-200 employees,D,exhausted,0,0,2026-03-09T18:01:19Z,2026-03-09T18:04:39Z
880631,Austria,103883259,Animation,29,201-500 employees,E,exhausted,0,0,2026-03-09T18:01:19Z,2026-03-09T18:06:26Z
880632,Austria,103883259,Animation,29,501-1000 employees,F,exhausted,0,0,2026-03-09T18:01:19Z,2026-03-09T18:07:35Z
912133,Austria,103883259,Animation,29,1001-5000 employees,G,exhausted,0,0,2026-03-09T18:08:23Z,2026-03-09T18:10:08Z
912134,Austria,103883259,Animation,29,5001-10000 employees,H,exhausted,0,0,2026-03-09T18:08:23Z,2026-03-09T18:11:26Z
912135,Austria,103883259,Animation,29,10001+ employees,I,exhausted,0,0,2026-03-09T18:08:23Z,2026-03-09T18:13:35Z
912136,Austria,103883259,Apparel and Fashion,23,11-50 employees,C,exhausted,0,0,2026-03-09T18:08:23Z,2026-03-09T18:15:02Z
912137,Austria,103883259,Apparel and Fashion,23,51-200 employees,D,exhausted,0,0,2026-03-09T18:08:23Z,2026-03-09T18:16:55Z
912138,Austria,103883259,Apparel and Fashion,23,201-500 employees,E,exhausted,0,0,2026-03-09T18:08:23Z,2026-03-09T18:20:16Z
912139,Austria,103883259,Apparel and Fashion,23,501-1000 employees,F,exhausted,0,0,2026-03-09T18:08:23Z,2026-03-09T18:21:32Z
912140,Austria,103883259,Apparel and Fashion,23,1001-5000 employees,G,exhausted,0,0,2026-03-09T18:08:23Z,2026-03-09T18:23:15Z
912141,Austria,103883259,Apparel and Fashion,23,5001-10000 employees,H,exhausted,0,0,2026-03-09T18:08:23Z,2026-03-09T18:25:03Z
912142,Austria,103883259,Apparel and Fashion,23,10001+ employees,I,exhausted,0,0,2026-03-09T18:08:23Z,2026-03-09T18:27:40Z
912143,Austria,103883259,Architecture and Planning,41,11-50 employees,C,exhausted,0,0,2026-03-09T18:08:23Z,2026-03-09T18:31:49Z
912144,Austria,103883259,Architecture and Planning,41,51-200 employees,D,exhausted,0,0,2026-03-09T18:08:23Z,2026-03-09T18:33:17Z
912145,Austria,103883259,Architecture and Planning,41,201-500 employees,E,exhausted,0,0,2026-03-09T18:08:23Z,2026-03-09T18:35:17Z
912146,Austria,103883259,Architecture and Planning,41,501-1000 employees,F,exhausted,0,0,2026-03-09T18:08:23Z,2026-03-09T18:36:31Z
912147,Austria,103883259,Architecture and Planning,41,1001-5000 employees,G,exhausted,0,0,2026-03-09T18:08:23Z,2026-03-09T18:37:45Z
943902,Austria,103883259,Farming,1,11-50 employees,C,exhausted,10,60,2026-03-09T18:44:15Z,2026-03-12T00:19:54Z
975248,Austria,103883259,Cloud Computing,104,11-50 employees,C,exhausted,10,100,2026-03-12T00:17:07Z,2026-03-12T00:29:55Z
975500,Austria,103883259,Individual and Family Services,107,11-50 employees,C,exhausted,10,100,2026-03-12T00:17:07Z,2026-03-12T00:41:47Z
975563,Austria,103883259,Law Practice,109,11-50 employees,C,exhausted,10,100,2026-03-12T00:17:07Z,2026-03-12T17:03:22Z
975654,Austria,103883259,Newspaper Publishing,105,11-50 employees,C,exhausted,10,80,2026-03-12T00:17:07Z,2026-03-12T00:34:21Z
975682,Austria,103883259,Professional Training and Coaching,100,11-50 employees,C,exhausted,10,100,2026-03-12T00:17:07Z,2026-03-12T00:24:14Z
975689,Austria,103883259,Public Relations and Communications Services,1028,11-50 employees,C,exhausted,0,0,2026-03-12T00:17:07Z,2026-03-12T00:26:12Z
1006685,Austria,103883259,Biotechnology,11,11-50 employees,C,exhausted,10,100,2026-03-12T17:00:25Z,2026-03-12T17:08:01Z
1006741,Austria,103883259,Civil Engineering,112,11-50 employees,C,exhausted,10,100,2026-03-12T17:00:25Z,2026-03-12T17:21:11Z
1006874,Austria,103883259,Environmental Services,115,11-50 employees,C,exhausted,10,100,2026-03-12T17:00:25Z,2026-03-12T17:27:52Z
1007070,Austria,103883259,Legal Services,110,11-50 employees,C,exhausted,10,90,2026-03-12T17:00:25Z,2026-03-12T17:12:47Z
1007084,Austria,103883259,Logistics and Supply Chain,116,11-50 employees,C,exhausted,10,100,2026-03-12T17:00:25Z,2026-03-13T19:28:22Z
1007105,Austria,103883259,Management Consulting,111,11-50 employees,C,exhausted,10,10,2026-03-12T17:00:25Z,2026-03-12T17:16:55Z
1038262,Austria,103883259,Computer and Network Security,118,11-50 employees,C,exhausted,10,100,2026-03-13T19:25:07Z,2026-03-13T19:46:25Z
1038388,Austria,103883259,Executive Offices,121,11-50 employees,C,exhausted,10,100,2026-03-13T19:25:07Z,2026-03-13T19:51:24Z
1038535,Austria,103883259,Investment Banking,127,11-50 employees,C,exhausted,10,80,2026-03-13T19:25:07Z,2026-03-13T20:00:02Z
1038542,Austria,103883259,Investment Management,128,11-50 employees,C,exhausted,10,100,2026-03-13T19:25:07Z,2026-03-14T01:46:09Z
1038556,Austria,103883259,Law Enforcement,126,11-50 employees,C,exhausted,10,100,2026-03-13T19:25:07Z,2026-03-13T19:55:31Z
1101220,Austria,103883259,Capital Markets,131,11-50 employees,C,exhausted,10,90,2026-03-14T01:43:17Z,2026-03-14T01:54:41Z
1101269,Austria,103883259,Computer Hardware Manufacturing,14,11-50 employees,C,exhausted,10,100,2026-03-14T01:43:17Z,2026-03-14T12:30:23Z
1101276,Austria,103883259,Computer Networking Products,139,11-50 employees,C,exhausted,10,100,2026-03-14T01:43:17Z,2026-03-14T02:11:47Z
1101367,Austria,103883259,Entertainment Providers,136,11-50 employees,C,exhausted,10,90,2026-03-14T01:43:17Z,2026-03-14T01:58:45Z
1101451,Austria,103883259,Government Relations Services,130,11-50 employees,C,exhausted,10,100,2026-03-14T01:43:17Z,2026-03-14T01:50:45Z
1101486,Austria,103883259,Human Resources Services,137,11-50 employees,C,exhausted,10,100,2026-03-14T01:43:17Z,2026-03-14T02:03:27Z
1132671,Austria,103883259,Aviation and Aerospace,147,11-50 employees,C,exhausted,10,100,2026-03-14T12:27:26Z,2026-03-14T12:38:45Z
1132881,Austria,103883259,Events Services,143,11-50 employees,C,exhausted,10,100,2026-03-14T12:27:26Z,2026-03-14T12:34:44Z
1132895,Austria,103883259,Facilities Services,150,11-50 employees,C,exhausted,10,100,2026-03-14T12:27:26Z,2026-03-14T12:42:52Z
1133266,Austria,103883259,Technology Information and Media,1594,11-50 employees,C,exhausted,10,100,2026-03-14T12:27:26Z,2026-03-15T16:38:57Z
1164157,Austria,103883259,Artificial Intelligence,1990,11-50 employees,C,exhausted,0,0,2026-03-15T16:35:44Z,2026-03-15T16:44:41Z
1164213,Austria,103883259,Business Consulting and Services,2190,11-50 employees,C,exhausted,10,100,2026-03-15T16:35:44Z,2026-03-15T16:48:37Z
1164318,Austria,103883259,Cybersecurity,2996,11-50 employees,C,exhausted,0,0,2026-03-15T16:35:44Z,2026-03-15T17:08:35Z
1164332,Austria,103883259,Defense and Space Manufacturing,19,11-50 employees,C,exhausted,10,100,2026-03-15T16:35:44Z,2026-03-15T16:43:27Z
1164346,Austria,103883259,Digital Marketing,2272,11-50 employees,C,exhausted,10,20,2026-03-15T16:35:44Z,2026-03-15T16:58:06Z
1164353,Austria,103883259,E-learning Providers,2379,11-50 employees,C,exhausted,0,0,2026-03-15T16:35:44Z,2026-03-15T16:59:51Z
1164423,Austria,103883259,Food and Beverage Manufacturing,3,11-50 employees,C,exhausted,10,100,2026-03-15T16:35:44Z,2026-03-15T17:15:23Z
1164430,Austria,103883259,Food and Beverage Services,2939,11-50 employees,C,exhausted,0,0,2026-03-15T16:35:44Z,2026-03-15T17:06:41Z
1164598,Austria,103883259,Machinery Manufacturing,30,11-50 employees,C,exhausted,10,100,2026-03-15T16:35:44Z,2026-03-21T13:37:55Z
